instance densityA densityB
mcs10_b03_s40_AB00 0.0769231 0.0769231
mcs10_b03_s40_AB01 0.0769231 0.0769231
mcs10_b03_s40_AB02 0.0769231 0.074359
mcs10_b03_s40_AB03 0.075641 0.0769231
mcs10_b03_s40_AB04 0.074359 0.075641
mcs10_b03_s40_AB05 0.0769231 0.075641
mcs10_b03_s40_AB06 0.075641 0.0769231
mcs10_b03_s40_AB07 0.0769231 0.0769231
mcs10_b03_s40_AB08 0.0769231 0.075641
mcs10_b03_s40_AB09 0.0769231 0.0769231
mcs10_b03_s50_AB00 0.0612245 0.0604082
mcs10_b03_s50_AB01 0.0612245 0.0612245
mcs10_b03_s50_AB02 0.0604082 0.0612245
mcs10_b03_s50_AB03 0.0612245 0.0604082
mcs10_b03_s50_AB04 0.0604082 0.0612245
mcs10_b03_s50_AB05 0.0604082 0.0595918
mcs10_b03_s50_AB06 0.0604082 0.0612245
mcs10_b03_s50_AB07 0.0595918 0.0612245
mcs10_b03_s50_AB08 0.0612245 0.0612245
mcs10_b03_s50_AB09 0.0612245 0.0604082
mcs10_b03m_s40_AB00 0.074359 0.075641
mcs10_b03m_s40_AB01 0.075641 0.074359
mcs10_b03m_s40_AB02 0.075641 0.074359
mcs10_b03m_s40_AB03 0.0769231 0.075641
mcs10_b03m_s40_AB04 0.075641 0.075641
mcs10_b03m_s40_AB05 0.075641 0.075641
mcs10_b03m_s40_AB06 0.0769231 0.075641
mcs10_b03m_s40_AB07 0.075641 0.075641
mcs10_b03m_s40_AB08 0.075641 0.074359
mcs10_b03m_s40_AB09 0.0769231 0.074359
mcs10_b03m_s50_AB00 0.0595918 0.0587755
mcs10_b03m_s50_AB01 0.0604082 0.0595918
mcs10_b03m_s50_AB02 0.0612245 0.0595918
mcs10_b03m_s50_AB03 0.0604082 0.0595918
mcs10_b03m_s50_AB04 0.0587755 0.0587755
mcs10_b03m_s50_AB05 0.0595918 0.0604082
mcs10_b03m_s50_AB06 0.0595918 0.0595918
mcs10_b03m_s50_AB07 0.0595918 0.0604082
mcs10_b03m_s50_AB08 0.0595918 0.0595918
